detector,fraction,method,metric,projects,median,q25,q75
hashing,0.75,estimated_weight_no_gate_clip_20,singleton_coverage,24,0.47595341754665055,0.40879401130991005,0.5559042394777723
hashing,0.75,estimated_weight_no_gate_clip_20,review_load,24,0.5240465824533496,0.44409576052222766,0.59120598869009
hashing,0.75,estimated_weight_no_gate_clip_20,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,0.75,estimated_weight_no_gate_clip_20,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,0.75,unweighted_mondrian,vulnerable_miscoverage,24,0.2087483617300131,0.13319495922905855,0.3016618089964053
hashing,0.75,unweighted_mondrian,safe_miscoverage,24,0.18754567901234567,0.13422878200420174,0.25083258655501556
hashing,0.75,unweighted_mondrian,vulnerable_violation,24,0.10874836173001311,0.033606442482647075,0.20166180899640532
hashing,0.75,unweighted_mondrian,safe_violation,24,0.004911218464841651,0.0,0.050832586555015546
hashing,0.75,unweighted_mondrian,max_relative_violation,24,1.2249591554606005,0.7612705646367426,2.0166180899640533
hashing,0.75,unweighted_mondrian,singleton_coverage,24,0.6888822695551032,0.6702462499671478,0.7218505361401868
hashing,0.75,unweighted_mondrian,review_load,24,0.31111773044489677,0.2781494638598132,0.3297537500328523
hashing,0.75,unweighted_mondrian,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,0.75,unweighted_mondrian,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,0.75,vultriage_full_gate_clip_20,vulnerable_miscoverage,24,0.005157677571470676,0.0,0.06775546898411747
hashing,0.75,vultriage_full_gate_clip_20,safe_miscoverage,24,0.03594239575801398,0.0,0.15029185951116822
hashing,0.75,vultriage_full_gate_clip_20,vulnerable_violation,24,0.0,0.0,0.0031005747126436767
hashing,0.75,vultriage_full_gate_clip_20,safe_violation,24,0.0,0.0,0.005216714607443082
hashing,0.75,vultriage_full_gate_clip_20,max_relative_violation,24,0.0,0.0,0.08070094033707453
hashing,0.75,vultriage_full_gate_clip_20,singleton_coverage,24,0.0751185955071258,0.0,0.3781668665907187
hashing,0.75,vultriage_full_gate_clip_20,review_load,24,0.9248814044928741,0.6218331334092813,1.0
hashing,0.75,vultriage_full_gate_clip_20,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,0.75,vultriage_full_gate_clip_20,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,1.0,estimated_weight_no_gate_clip_20,vulnerable_miscoverage,24,0.11045408492217001,0.07371990564074099,0.16630421236291126
hashing,1.0,estimated_weight_no_gate_clip_20,safe_miscoverage,24,0.21679691323169584,0.15450155268719057,0.22912404718808627
hashing,1.0,estimated_weight_no_gate_clip_20,vulnerable_violation,24,0.012852537533388591,0.0,0.06630421236291126
hashing,1.0,estimated_weight_no_gate_clip_20,safe_violation,24,0.017492565405608878,0.0,0.02912404718808627
hashing,1.0,estimated_weight_no_gate_clip_20,max_relative_violation,24,0.4833670226461353,0.12111899133175721,0.6696703672910451
hashing,1.0,estimated_weight_no_gate_clip_20,singleton_coverage,24,0.5240100070578746,0.483681616283891,0.6039118546686241
hashing,1.0,estimated_weight_no_gate_clip_20,review_load,24,0.4759899929421254,0.39608814533137593,0.516318383716109
hashing,1.0,estimated_weight_no_gate_clip_20,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,1.0,estimated_weight_no_gate_clip_20,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,1.0,unweighted_mondrian,vulnerable_miscoverage,24,0.21301878549584974,0.13830952220500034,0.3081268823472263
hashing,1.0,unweighted_mondrian,safe_miscoverage,24,0.1884659151905529,0.13469840470049702,0.25152835464595275
hashing,1.0,unweighted_mondrian,vulnerable_violation,24,0.1130187854958497,0.03830952220500033,0.20812688234722626
hashing,1.0,unweighted_mondrian,safe_violation,24,0.005213097155126137,0.0,0.05152835464595269
hashing,1.0,unweighted_mondrian,max_relative_violation,24,1.2423861589376228,0.7831685816339098,2.0812688234722625
hashing,1.0,unweighted_mondrian,singleton_coverage,24,0.6969124382087817,0.6770432216972296,0.7303612222419433
hashing,1.0,unweighted_mondrian,review_load,24,0.3030875617912184,0.26963877775805667,0.3229567783027705
hashing,1.0,unweighted_mondrian,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,1.0,unweighted_mondrian,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,1.0,vultriage_full_gate_clip_20,vulnerable_miscoverage,24,0.0028708133971291866,0.0,0.09800903119868637
hashing,1.0,vultriage_full_gate_clip_20,safe_miscoverage,24,0.13406365825746835,0.0,0.2115557127491032
hashing,1.0,vultriage_full_gate_clip_20,vulnerable_violation,24,0.0,0.0,0.0015886699507389143
hashing,1.0,vultriage_full_gate_clip_20,safe_violation,24,0.0,0.0,0.01303674090087798
hashing,1.0,vultriage_full_gate_clip_20,max_relative_violation,24,0.0,0.0,0.1268858018315774
hashing,1.0,vultriage_full_gate_clip_20,singleton_coverage,24,0.2777551020408163,0.0,0.5092419571507303
hashing,1.0,vultriage_full_gate_clip_20,review_load,24,0.7222448979591837,0.4907580428492698,1.0
hashing,1.0,vultriage_full_gate_clip_20,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,1.0,vultriage_full_gate_clip_20,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
