detector,target_group,fraction,method,vulnerable_miscoverage,safe_miscoverage,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier
hashing,linux,0.25,unweighted_mondrian,0.42151715039577836,0.10444578232657703,0.3215171503957784,0.0,3.2151715039577833,0.7395554205891284,0.2604445794108715,0.15554576188573305,0.13613487563481816
hashing,linux,0.25,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15554576188573305,0.13613487563481816
hashing,linux,0.5,estimated_weight_no_gate_clip_20,0.10773087071240106,0.2319981269650144,0.0267467018469657,0.031998126965014376,0.3508214825746147,0.4500127543273611,0.5499872456726389,0.15554576188573305,0.13613487563481816
hashing,linux,0.5,unweighted_mondrian,0.43592348284960425,0.10366312127901532,0.3359234828496042,0.0,3.359234828496042,0.7532839356210143,0.24671606437898572,0.15554576188573305,0.13613487563481816
hashing,linux,0.5,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15554576188573305,0.13613487563481816
hashing,linux,0.75,estimated_weight_no_gate_clip_20,0.1688126649076517,0.23535621111780053,0.07297097625329814,0.03535621111780051,0.7707118362502869,0.5784415426662618,0.42155845733373826,0.15554576188573305,0.13613487563481816
hashing,linux,0.75,unweighted_mondrian,0.4428891820580475,0.10316944277209178,0.34288918205804747,0.0,3.428891820580475,0.7590258123291831,0.24097418767081688,0.15554576188573305,0.13613487563481816
hashing,linux,0.75,vultriage_full_gate_clip_20,0.03902374670184697,0.046940932503846414,0.019023746701846967,0.0069409325038464085,0.19023746701846964,0.12415305192833284,0.8758469480716671,0.15554576188573305,0.13613487563481816
hashing,linux,1.0,estimated_weight_no_gate_clip_20,0.15521108179419524,0.23577496822529934,0.055211081794195246,0.03577496822529934,0.5623019762354714,0.5641907075614941,0.4358092924385059,0.15554576188573305,0.13613487563481816
hashing,linux,1.0,unweighted_mondrian,0.44558047493403696,0.10317078065422436,0.34558047493403693,0.0,3.4558047493403694,0.7627695110841178,0.23723048891588217,0.15554576188573305,0.13613487563481816
hashing,linux,1.0,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15554576188573305,0.13613487563481816
hashing,mongo,0.25,estimated_weight_no_gate_clip_20,0.0967857142857143,0.16249701789264415,0.00871428571428571,0.0,0.0871428571428571,0.30821469356680625,0.6917853064331938,0.10467394838509389,0.0966748319280589
hashing,mongo,0.25,unweighted_mondrian,0.40714285714285714,0.07209542743538767,0.3071428571428571,0.0,3.071428571428571,0.6779444232965359,0.322055576703464,0.10467394838509389,0.0966748319280589
hashing,mongo,0.25,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10467394838509389,0.0966748319280589
hashing,mongo,0.5,estimated_weight_no_gate_clip_20,0.14035714285714285,0.17011530815109346,0.04121428571428571,0.0,0.4121428571428571,0.3825808907499048,0.6174191092500952,0.10467394838509389,0.0966748319280589
hashing,mongo,0.5,unweighted_mondrian,0.40142857142857147,0.07128429423459244,0.30142857142857143,0.0,3.014285714285714,0.6678644842025123,0.3321355157974876,0.10467394838509389,0.0966748319280589
hashing,mongo,0.5,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10467394838509389,0.0966748319280589
hashing,mongo,0.75,estimated_weight_no_gate_clip_20,0.1842857142857143,0.16887475149105366,0.08428571428571428,0.0,0.8428571428571427,0.4436848115721355,0.5563151884278645,0.10467394838509389,0.0966748319280589
hashing,mongo,0.75,unweighted_mondrian,0.41035714285714286,0.07114115308151094,0.31035714285714283,0.0,3.103571428571428,0.6773810430148458,0.3226189569851542,0.10467394838509389,0.0966748319280589
hashing,mongo,0.75,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10467394838509389,0.0966748319280589
hashing,mongo,1.0,estimated_weight_no_gate_clip_20,0.225,0.17033797216699803,0.125,0.0,1.2499999999999998,0.504225352112676,0.49577464788732395,0.10467394838509389,0.0966748319280589
hashing,mongo,1.0,unweighted_mondrian,0.41607142857142854,0.07165009940357853,0.31607142857142856,0.0,3.1607142857142856,0.6838979824895318,0.3161020175104682,0.10467394838509389,0.0966748319280589
